RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,REC,PTS
183,"Austin Seferian-Jenkins, Jax TE",0/0,509,4,0,0,46.2,121.3
184,"Kenneth Dixon, Bal RB  Q",0/0,239,0.9,0,102.8,34.5,121.3
185,"Benjamin Watson, NO TE",0/0,469.5,4.7,0,0,46.1,121.2
186,"Sebastian Janikowski, Sea K",0/0,0,0,0,0,0,119.6
187,"Ryan Grant, Ind WR",0/0,532.4,3.8,0,0,43.2,119.2
188,"Austin Hooper, Atl TE",0/0,497.1,4.1,0,0,45,119.2
189,"Quincy Enunwa, NYJ WR  Q",0/0,587,2.5,0,0,44.2,117.8
190,"Tyler Eifert*, Cin TE  O",0/0,494.9,4.2,0,0,43.2,117.6
191,"Dan Bailey, Dal K",0/0,0,0,0,0,0,117.5
192,"Ka'imi Fairbairn, Hou K",0/0,0,0,0,0,0,117
193,"Cody Parkey, Chi K",0/0,0,0,0,0,0,116.6
194,"D'Onta Foreman*, Hou RB  O",0/0,122.5,0.6,0,154.4,15.3,116.6
195,"Stephen Hauschka, Buf K",0/0,0,0,0,0,0,116.2
196,"Zane Gonzalez, Cle K",0/0,0,0,0,0,0,115.9
197,"Giorgio Tavecchio, Oak K",0/0,0,0,0,0,0,115.8
198,"D.J. Moore, Car WR",0/0,546.2,3.3,0,0,40.2,115.3
199,"Aldrick Rosas, NYG K",0/0,0,0,0,0,0,115.3
200,"James Washington, Pit WR",0/0,537.4,3.7,0,0,38.9,115
201,"Randy Bullock, Cin K",0/0,0,0,0,0,0,115
202,"Josh Rosen, Ari QB",183.9/303.4,0,0,8.2,13.2,0,114.1
203,"Caleb Sturgis, LAC K",0/0,0,0,0,0,0,113.9
204,"Brandon McManus, Den K",0/0,0,0,0,0,0,113.9
205,"Ricky Seals-Jones, Ari TE",0/0,546.2,3,0,0,41.2,113.6
206,Eagles D/ST D/ST,0/0,0,0,0,0,0,113.3
207,"Nick Chubb, Cle RB",0/0,89.4,0.4,0,142.9,11.5,112.1
208,"Phil Dawson, Ari K",0/0,0,0,0,0,0,111.8
209,"John Brown, Bal WR",0/0,547.4,2.6,0,2.1,38.6,110.5
210,"Darren Sproles, Phi RB",0/0,267.4,1.2,0,63.4,33.6,109.6
211,"Jason Sanders, Mia K",0/0,0,0,0,0,0,108.6
212,"C.J. Anderson, Car RB",0/0,94.6,0.3,0,145.3,11.4,108.4
213,Rams D/ST D/ST,0/0,0,0,0,0,0,108.4
214,"Danny Amendola, Mia WR",0/0,473.7,2.1,0,3.7,45.1,108.2
215,"Cairo Santos, NYJ K",0/0,0,0,0,0,0,108
216,Patriots D/ST D/ST,0/0,0,0,0,0,0,108
217,Ravens D/ST D/ST,0/0,0,0,0,0,0,107.8
218,"Kendall Wright, Min WR",0/0,512.4,2.3,0,0,42.8,107.5
219,"Mike Williams, LAC WR",0/0,456.6,4,0,0,38,107.3
220,"Travis Benjamin, LAC WR",0/0,473.3,2.8,0,12.4,30.2,106.5
221,"Brandon Marshall, Sea WR  Q",0/0,456.1,4.2,0,0,35.3,106.5
